冬瓜、黄瓜、西瓜、南瓜都能吃，什么瓜不能吃？	傻瓜 
把一只鸡和一只鹅同时放在冰箱里，为什么鸡死了鹅没死？	企鹅嘛 
四个人在一间小屋里打麻将（没有其他人在看着），这时警察来了，四个人都跑了，可是警察到了屋里又抓到一个人，为什么？	四个人在屋里打一个叫“麻将”的人，警察抓到的是他 
万兽大王是谁？	动物园园长 
用什么可以解开所有的谜？	答案 
什么样的人死后还会出现？	电影中的人 
专爱打听别人事的人是谁？	记者 
谁说话的声音传得最远？	打电话的人 
什么东西的制造日期和有效期是同一天？	日报 
小咪昨晚花了整整一个晚上在历史课本上，可第二天妈妈还是骂她不用功，为什么？	她用历史课本当枕头睡 
能否用树叶遮住天空？	只要用树叶盖住眼睛 
一头牛，向北走10米，再向西走10米，再向南走10米，倒退右转，问牛的尾巴朝哪儿？	朝地 
为什么黑人喜欢吃白色巧克力？	害怕咬到自己的手 
把8分成两半，是多少？	0 
口吃的人最吃亏的是？	打国际长途电话 
什么东西使人哭笑不得？	口罩 
身份证掉了怎么办？	捡起来
有个人走独木桥，前面来了一只老虎，后面来了只熊，这个人是怎么过去的？	晕过去了 
监狱里关着两名犯人，一天晚上犯人全都逃跑了，可是第二天看守员打开牢门一看，里面还有一个犯人？	逃跑的犯人名字叫“全都” 
小明的妈妈有三个儿子，大独生子叫大明，二儿子叫二明，三儿子叫什么？	当然叫小明 
猫见了老鼠为什么拔腿就跑？	跑去捉老鼠 
大象的左边耳朵象什么？	右边耳朵 
针掉到大海怎么办？	再买一颗 
有一个人走在沙滩上，回头却看不见自己的脚印，为什么？	因为他倒着走 
一只候鸟从南方飞到北方要用一个小时，而从北方飞到南方则需二个半小时，为什么呢？	两个半小时不就是一个小时吗 
经理不会做饭，可有一道菜特别拿手，是什么？	炒鱿鱼 
李先生到16层楼去谈生意，但他只乘电梯到14层楼，然后再步行爬楼梯上去，为什么？	李先生个子太矮，按不到16楼的电梯按键 
一个小孩和一个大人在漆黑的夜晚走路，小孩是大人的儿子，大人却不是小孩的父亲，请问为什么？	因为他们是母子关系 
什么字全世界通用？	阿拉伯数字 
一个人的前面放了一本又厚又宽的大书，他想跨过去可怎么也跨不过去，你知道这是什么原因吗？	因为书就放在墙角 
人的长寿秘诀是什么？	保持呼吸，不要断气 
什么时候看到的月亮最大？	登上月球时 
什么人一年中只工作一天？	圣诞老人 
什么事睁一只眼闭一只眼比较好？	射击 
为什么刚出生的小孩只有一只左眼睛?	人本来就只有一只左眼睛 
哪颗牙最后长出来？	假牙 
房间里着火了，小明怎么也拉不开门，请问他后来是怎么出去的？	推开门 
蓝兰并没生病，但她整个晚上嘴巴一张一合？	她吃瓜子 
什么最会弄虚做假？	魔术师 
有两个面的盒子吗？	有!里面和外面 
铁放在屋外露天会生锈，那么金子呢？	会被偷走 
拿鸡蛋扔石头，为什么鸡蛋没破？	左手拿蛋右手扔石头，鸡蛋怎么会破? 
“新华字典”有多少个字？	四个 
超人和蝙蝠侠有什么不同？	一个内裤穿里面，一个穿外面 
什么人心肠最不好？	得胃肠炎的人 
客人送来一篮草莓，贝贝吵着要吃草莓。可妈妈偏说家里没有草莓为什么	客人送来的只是一幅画 
从来没见过的爷爷他是什么爷爷？	老天爷 
2对父子去打猎，他们每人达了一只野鸭 ，但是总共却只有3只，为什么？	祖孙3人 
一个病人到医院去做健康检查，为什么医生说：“你离我远一点”请问这 病人得了什么病？	斗鸡眼 
什么东西没吃的时候是绿的，吃的时候是红的，吐出来的是黑的？	西瓜 
为什么太阳天天都比人起的早？	因为：人比太阳睡的晚！ 
一只狼钻进羊圈，想吃羊，可是它为啥没吃又没吃羊？	因为：羊圈里没有羊！ 
有卖的，没买的，每天卖了不少的。	门坎 
什么船最安全？	停在海滩里的船 
山坡上有一群羊，来了一群羊。一共有几群羊？	还是一群呀！ 
想把梦变成现实，第一步应该干什么？	起床。 
大熊猫一生中的最大遗憾是什么？	没有彩色照片 
下雨了，大家都急着回家，可有一个人却不紧不慢地走着（他没撑雨伞） 有人问他为什么不赶紧回家，他说了一句话，使那人晕了过去，请问他说 了什么话？	“急什么前面也有雨吗？” 
老板从来不会烧菜，可他每天都会烧相同的一道菜，请问这是什么菜？	“炒鱿鱼” 
读书人最难堪的事是什么？	想买一本书时，猛然发现包里没钱 
哥哥买了3袋米，弟弟买了2袋米，回家后他们把米放在1只大袋里， 现在他们有几袋米？	1袋米 
小明考了100分，为什么哭了？	他本身得了大零蛋。 
小王是一名优秀士兵,在站岗值勤时,明明看到有敌人悄悄向他摸过 来,为什么他却睁一只眼闭一只眼?	他在瞄准敌人~ 
为什么彤彤与壮壮第一次见面就一口咬定壮壮是喝羊奶长大的?	壮壮是一只羊 
有一种东西，上升的时候同时会下降下降的同时会上升，这是什么？	跷跷板 
做什么事要从头来。	剃头 
有一只公鸡在屋顶上下蛋，你说鸡 蛋会从左边掉下还是右边？	公鸡不会下蛋 
大力士永远也举不起的东西是什么？	他（她）自己 
为什么青蛙跳得比树高	树不会跳 
三心二意的人是什么人？	多心的人，因为那个人有三颗心. 
80厘米长的红螃蟹和30厘米长的黑螃蟹比赛跑步，谁会赢？	黑螃蟹。因为红螃蟹是煮熟的。 
元帅比将军高一个等级，什么时候元帅和将军平等？	下象棋 
什么东西掉进水里不会湿？	影子。 
小王是个司机，有一天开车出了车祸，当警察赶到时，发现车上有一个死人，小王确说不管他的事，为什么？	小王开的是灵车 
什么动物天天熬夜？	熊猫，它熬得眼圈都黑了。 
一头小猪卖200元，为什么两头小猪却可以卖几万元人民币？	因为长了两个头的小猪实在罕见。 
一个人,一只船,一只狗,一只兔子,一棵白菜,着个人要把着三样东西,运到 河那边,先送那两个？	先送狗和白菜 
什么人最喜欢别人叫它滚	监狱里的人 
用什么拖地最干净?	用力 
人为什么喜欢往上爬？	因为人是猴子变的。 
大象的长鼻子是怎么长成的？	出生时就有。 
一艘船最多能承受50个人，现在已经坐了49个人了，又来了一个人，那艘 船却沉了，为什么？	因为那是潜水艇 
桌子上有一个蜡烛和一个煤油灯，请问先点哪一个？	火柴 
动物园的大象死了,为什么管理员哭得死去活来?	因为他想到挖这么大的坑,可能会累死. 
为什么现在的猴子越来越少了？	都变成人了。 
小明整天说个不停，为什么今天一句话不说了？	因为他到了外国。 
为什么新买的袜子有两个洞？	要不然怎么穿 
小东上课睡觉，老师却不说他，为什麽？	老师没看见 
为什么一匹大青马掉进饭碗里淹死了？	一只蛐蛐的昵称 
抓到什么贼后可以马上处死刑？	乌贼 
一只毛毛虫（八只脚）走上一堆牛粪，下地以后却发现只有六只脚印，为 什么？	牛粪很臭，两只脚捏住鼻子了 
大雁为什么向南飞？	以为走的太慢了，就飞啊 
有一座桥只能乘重70公斤，一个人重65公斤，他要带两个分别重2.6公斤 的球过桥,没借用任何东西就从桥上把两个球带了过去,他是怎么过去?	抛起一个球,待它要落下的时候把另一个抛起. 
平时吃晚饭都是爸爸洗碗，可今天爸爸为什么吃完饭却不洗碗？	今天在饭馆里吃的饭 
有一只毛毛虫要过河，前面没有桥，问它是怎么过去的	变成蝴蝶飞过去 
什么动物你打死了它，却流了你的血？	蚊子 
一根生锈的绣花针，在7月7日7时7分7秒，浩月当空之时，扔到云南饵海中将会发生什么反应？	掉到海底 
什么筋伤了不能贴膏药？	伤脑筋。 
奇妙的关系 在斜坡上，有两个人推车。迎面走过来一个人，问前面的那个人：“后边 的那个人是你的儿子吗？”那个人说：“是!”他又问后面的那个人： “前面的那个人是你的爸爸吗？”他却说：“不是！”请问这是什么关	母子关系 
打破了什么人人都叫好？	世界纪录 
一个人掉到海里，为什么他的头发没有湿？	因为他是光头 
什么东西人们都不想要？	病。 
森林中有十只鸟，小明开枪打死了一只，其它九只却都没有飞走，为什 么？	鸵鸟 
你每天都能看见的最大的影子是什么?	黑夜,地球的影子 
积木倒了要重搭，房子倒了要怎样？	要逃命 
熊为什么冬眠时会睡这么久？ 因为没人敢叫它起床
有一个小圆孔的直径只有1厘米，而一种体积达100立方米的物体却能顺利 通过这个小孔，那么它是什么物体呢？	答案是水，你猜到了吗？
小明从六楼向下跳，为什么还没有受伤？	他转身向房间里跳的。 
上课时，老师问同学：“没有人类及动物居住的地球是什么呢？”小名很 快便答对了。你知道他的答案是什么吗？	地球仪 
什么地方盛产安哥拉兔毛？	安哥拉兔身上 
为什么金鱼看上去老是傻乎乎的？	它脑袋里灌水了。 
一个老爷爷要过桥，前面是狼，后面是虎，老爷爷该怎么 办？	晕过去 
你爷爷的儿子的爸爸的妈妈的姑姑的小姨的叔叔的大伯跟你是什麽关系?	亲戚! 
一个长方体盒子,有8个角,8条边,请问这个长方体盒子从中剪切开,还剩几 个角,几条边?	还有8个角,8条边! 
读一年级的东东没有学过外文，为什么也会写外国字？	他写的是阿拉伯数字。 
是黑鸡厉害还是白鸡厉害？	黑鸡。因为黑鸡会下白蛋，白鸡不会下黑蛋！ 
为什么老师一看到小宝就知道他爸爸是左撇子？	因为他的右脸上有五道痕。 
你打死了一个动物,为什么流的是自己的血.	因为打死了一只正在吸自己血的蚊子 
有一个东西，你能用左手拿，不能用右手拿，这东西是什么。	自己的右手 
螳螂请蜈蚣和壁虎到家中做客，烧菜的时候发现酱油没了饿，蜈蚣自告 奋勇出去买，却久久未会，究竟发生了什么事？	打开门后，发现蜈蚣还坐在门口穿鞋 
什么人重来不洗头发？	和尚 
一只狗和一只青蛙比赛游泳平常都是青蛙游的快,为什么在一次比赛中狗 赢了?	因为当时的比赛规则是之许用狗刨,不许用蛙泳! 
小伟的书包里藏着一个鸭蛋，他为什么不肯拿出来交给妈妈做菜？	那是考卷上的“大鸭蛋 
人死了为什麽要闭眼睛？	因为睁着眼睛会吓死人的！ 
黑手党为什么喜欢戴白手套？	因为手太黑。 
国歌一共有几个字	两个 
一块天然的黑色大理石，在一月一日扔入太平洋，会发生什敏麽？	大理石沉入太平洋 
有5只小蚂蚁，每只小蚂蚁都说它身后还有1只小蚂蚁，为什么？	有只小蚂蚁在说谎 
什么牛不吃草？	蜗牛 
老师说：“我们的身体里有106块骨头”，可是，小明说：“他身体里有 107块骨头”，这是为什么？	因为小明不小心吃下一块鱼骨头。 
什么书既没有作者，也没人能读懂？	当然是天书啦！ 
一个人一年中哪一天睡觉时间最长？	一年中的最后一天，因为他跨越到第二年。 
树上“qi”个猴，地下“yi”个猴，一共几个猴？	两个猴 
自找苦吃的地方是哪儿？	药房 
一间牢房关了两个犯人，其中一个因偷窃要关一年，另一个是强盗杀人犯 却只关两个星期，为什么？	强盗杀人犯被拉出去枪毙啦 
你怎样才能把你的左手全部放入你身上右边的裤袋内，而同时又把你的右 手全部放入左边的裤袋内？	把裤子前后反着穿 
5只鸡5天生了5个蛋。100天内要100个蛋，需要多少只鸡？	仍然仅需5只鸡 
什么东西越剪越大？	洞 
网是用什么做成的？	用一个个洞做成的。 
没完成作业怎么办？	问老师啊，作业是老师留的。。 
仪式 牧师主持过各种各样的仪式，可是有一种却是他无法主持的。请问是什么？	自己的葬礼。	
考试 在一次监察严密的考试中，有两个学生交了一模一样的考卷。 主考官发 现后，却并没有认为他们作弊，这是什么原因？	他们都交的白卷。	
吃草 草地上画了一个直径十米的圆圈，内有牛一头，圆圈中心插了一根木桩。 牛被一根五米长的绳子栓着，如果不割断绳子，也不解开绳子，那么此牛 能否吃到圈外的草？	能，因为题中并没说牛被栓在木桩上。 
你知道为什么鱼只生活在水里，而不生活在陆地上吗？	陆地上有猫 
有两个硬币，是五角五分，其中一个不是五角，那是哪两个硬币？	就是五角和五分，五角当然不是五分啦！ 
你知道稀饭贵还是烧饼贵？	稀饭。物以稀为贵 
什么时候是摘苹果的最好时机	苹果熟了的时候 
有一个人口袋里有五元钱，掉了五元钱口袋里还剩下什么东西？	一个洞 
什么鱼的肚皮是浮上水面的？	死鱼 
小明今年12岁，为什么只过了三次生日？	生日是2月29日 
有一家动物园死了一只大象，为什么饲养员要抱头痛哭？	因为他要给大象挖很大的一个坑。 
小明每天都吃一个师傅，他是怪兽吗？	吃康师傅嘛！ 
小王刷了一早上的口，为什么别人还是说他口臭	因为小王爱骂人，所以别人说他口臭。 
小力把一个鸡蛋扔到2米多处还没碎，为什么？	因为鸡蛋被扔到2米多处的时候还没落地。 
两个人去陆菅，晚上睡在帐篷里。不久其中一个人醒来叫醒另一 人。问你看到天上的星星。你会想到什么？	账蓬被人偷走了。 
一根长棍子(不准弄断),那怎样才能使它变短?	拿一根更长的棍子和它一比不就短了吗. 
为什么先看见打闪后听见打雷。	因为眼睛长在前面 
什么路人们最不敢走?	绝路 
什么人敢在皇帝的头上胡作非为?	理发师 
什么官,不发工资,却要给别人钱,还要陪笑脸?	新郎官 
一个挖好的长6米、宽7米、高8米的坑里有多少土？	已经挖好，所以没有土！ 
在中国，哪个村庄最大？	石家庄 
马在哪里不需腿也能走？	象棋盘上 
美国总统是怎么进皇宫的?	从大门进去的 
一个数去掉首位是13，去掉末位是40。请问这个数是几？	四十三 
我们都知道把一只大象放进冰箱里分三步：1把冰箱门打开；2把大象放进 去；3把冰箱门关上。 那么，请你把长颈鹿放进冰箱里分几步？	四步：1把冰箱门打开；2把大象拿出来；3把长颈鹿放进去 
有一天老张去集市买小鸡，转了半天买了10只公鸡10只母鸡，回家的路上，不知道想了什么 赶紧有跑到集市上买了5只公鸡5只母鸡为什么？	喂小米啊 
什么样的钉子最可怕？	眼中钉。 
杰克跑的最快，为什么他的长官还要批评他？	逃跑 
穷人和富人在什么地方没有区别？	浴室 
小芬对小芳说：“后天的大前天的后天，也就是昨天的昨天的大后天 是我的生日，请来参加我的生日会。”小芳应该什么时候赴约呢？	是明天赴约。 
一个人，他感觉地球在站动，为什么？	他喝醉酒了。 
从前有三个人，一个是罗锅，一个是摇头，一个是瘸腿，有一天，他门三 个过一座桥，这个不让罗锅.摇头.瘸腿,这三个人的病不许过,你帮他们想 个办法让他们过去。	罗锅先放一个蛐蛐，然后罗锅说蛐蛐，摇头就在那要头说 
什么人喜欢天天下雨	制造雨伞商 
哪座桥不能开车也不能走人？	郑板桥 
有人说“吃鱼可避免患近视眼”,为什么?	你看过猫戴眼镜吗? 
一双鞋卖16元，一只鞋卖多少钱？	不卖。 
哈巴狗去掉尾巴最像什么动物？ 睡觉前要做什么事？	哈巴狗 闭上眼睛 
小华的爷爷有7个儿子，每一个儿子又各有一个妹妹，请问：小华的 爷爷有多少个儿女？	8个，女儿是最小的。 
地上掉了一张5元的和一张50元的钞票，你看见了会捡哪一张？	两张都捡 
将军为什么不用出城做战？	在下象棋。 
世界上谁的头力气最大？	火车头 
什么东西最能让人满足？	袜子 
动物园里有一只可爱的熊猫，为什么人们都不敢接进它	油漆未干 
青蛙和狗比赛游泳，为什么狗赢了？	因为它们比赛的是狗刨式游泳。 
天最顶上是什么？	是“一” 
奶牛天天挤奶，它还有奶这是为什么？？？？	喂草呗 
什么狗身上湿淋淋的？	落水狗。 
能使竹篮提水不一场空的最好办法是什么？	提冰唦。 
两个口是吕，三个口是品，那也四个口、五个口分别是什么字？	田、吾 
小明放学回家对妈妈说：“家里有一个地方，我想坐就坐，而你却不能坐”你知道这是什么地方？	妈妈的膝盖上 
一个人有一个，全国12亿人只有12个，这东西是?	12生肖 
乌龟梦见自己中了一百元大奖,醒来梦想成真,它接下去该怎么办?	再睡一觉 
一个商人破产了，有半数朋友不认识他了，为什么？	因为还有一半朋友不知道他破产了。 
动物园里大象的鼻子最长，那谁是第二个长的呢？	小象 
最坚固的锁，最怕什么？	钥匙 
什麽东能逛变世界	风 
小明的妈妈让小明买蛋里没有小鸡的蛋小明应该买啥蛋。	鸭蛋 
一个人有三根头发，为什么把中间那根拔了？	因为他要“中分”。 
小刚唱歌很烂，为什么观众却掌声不断？	观众在拍蚊子。 
为什么拔一颗牙齿需要十个医生？	因为拔牙的是头大象。 
什么枪只能吓跑人，不能打死人？	比赛用的枪 
王奶奶只花了一天，就能从广州扫到北京。她是怎样做到的？	她在火车上扫的。 
一条狗想穿越撒哈拉沙漠，它备足了干粮和水，但最后还是死在沙漠里， 为什么？	因为沙漠里没有电线杆（尿憋死的） 
一只老虎面前有5个山洞，每个山洞都有一只羊，它为什么进了第2个山洞？	它想进哪个山洞就进哪个山洞 
张飞的母亲姓什么？	姓吴（解：无事生飞） 
11+2=1?对吗?	对!11点另2点就是1点啦! 
烧什么汤最“鲜”？	“鱼”肉汤和“羊”肉汤。 
为什么两只公老虎打架，非要拼过你死我活绝不罢休？	因为没有人敢去劝架。 
什么路 走不了。	电路 
为什么太阳总是比人起得早?	因为人总是比太阳睡得晚. 
有一种东西，成熟了会有胡须，这是什么？	玉米 
作家写小说，一般最先从哪里开始写起。	笔尖 
一天，有两人在马路上走着，一人说：“你看前面有辆车”另一个人却 说：“没车”为什么？	煤车 
小明她很聪明，为什么连东南西北也分不清？	因为她的眼睛被蒙住了。 
这个东西别人能用，自己也能用，但它属于自己，它是什么？？？	名字 
什么报只印一份？	电报 
天天和人打架的人是谁?	拳击手. 
船厂老板最怕什么?	地球上没水. 
小明想用钢笔画个圆，问他从那开始？	钢笔尖 
五月最长是那一天？	一样长 
森林里什麽最多?	树叶 
“太阳”的“太”去掉一点是什么字？	去掉“一”，“点”当然是“人”字啦！！ 
世界上哪座城市交通最发达？	罗马 
什么情况下四减一等于五？	四角形剪去一角剩下五角 
什么大楼最便宜？	五角大楼 
小东是钓鱼高手。但有一次，他一条鱼也没钓到，为什么？	因为小东在钓虾场钓虾！ 
国庆节的时候为什么天安门广场上连半个人都没有？	因为人不能算半个的 
插在牛鼻子上的花是什么化？	牵牛花朵 
一个人头戴太阳帽，身穿雨绒衣,手提电风扇,脚穿溜冰鞋,请问他要往哪 里去?	去精神病医院． 
为什么小偷坐车不要钱？	因为他坐的是警车 
一只蚂蚁可以从日本爬到中国，可能吗？	蚂蚁在地图上爬	
医治晕车的最好办法是什么？	不坐车。 
如果朱葛亮还活着，世界上会有什么变话？	多了一个人 
有一个人上身穿棉袄，下身穿短裤，左手拿着冰可乐，右手拿着热咖啡，天天坐在火炉旁，又开着冷器，请问他是谁？	神经病 
1、什么门不能关？2、什么马不会跑？ 3、小康说一只五边形的盒子只有两个面，对吗？	1、球门； 2、木马； 3、对，里面和外面。 
牙科医生最希望什么商品畅销？	糖果呗！ 
我看的见，你看不见，你看的见，我看不见，是什么？	梦 
熊猫最大的心愿是什么？	照一张彩色照片 
奶奶叫孙女擦桌子，擦了半天，奶奶还是说脏，为什么？	因为奶奶的老化眼镜脏了！ 
小孩在一家门口玩，一人问：“你妈在家吗？”小孩说：“在。”此人按门铃，却无人开门。小孩未撒谎，为何？	小孩说：“我没说这是我家！” 
什么饼不能吃	铁饼 
小刚到外面吃饭，为什么不要钱？	因为小刚在家门外吃饭 
动物园里的小象将会变成什麽	大象 
鱼缸里有十条鱼死掉了一条问还有几条？	十条死鱼也是鱼 
用甚麽办法能使眉毛长在眼睛下面	倒立就行了 
请问大家，人能活多少久呢？？？	当然是活到死的时候啦！ 
人最想知道而又无法知道的事是什么？	将来的事 
小王买了一个大西瓜，回到家中，他把西瓜放在桌子边上，一刀切成了五 大块，十小块，问是怎么切的？	因为西瓜掉下去一块，所以是“捂”大块，“拾”小块！ 
哪两个东西人在说“爸爸”的时候会碰撞，人在说“父亲”的时候不会碰撞？	上嘴唇和下嘴唇。 
金太太平时做事一贯很利落，为什么这次却吞吞吐吐？	吃甘蔗。 
一个人左右手各拿着一个碗，同时摔下去，一个摔破了，一个没摔破，为 什么。	应为一个是铁，的一个是瓷的。 
小明初一12岁，初三为什么还12岁？	大年初三嘛 
在什么时候小猫比老虎大。	小猫在凸镜面前，老虎在凹镜面前的时候。 
十二个人有十二个，十二亿人也只有十二个，这是什么？	十二生肖或十二星座 
小明在查字典，他在查什么字？	他在查不认识的字 
什么河里没有水？？？	象棋上的楚河。 
小明在一间很黑的屋子里,为什么什么都看得到?	他在幻想未来. 
有个人被关在一间房间里，房间里只有一扇门。他想拉门却拉不开。 请问他怎样才能出去。	用手推嘛。 
有一对夫妇天天吵架,为什么6月只吵了20天?	因为他们6月10才结婚. 
有一种海里一滴水都没有为什么？	辞海 
什么花盛开时人看不见？	心花怒放 
小成是小芳的姐姐，可是有一天，小成却叫小芳姐姐，这是为什麽？	因为她在做梦。 
怎么使不知道变成知道？	把不擦掉 
什么帽不能戴？	螺帽 
小东考试考了0分证明了什么?	证明了小东考试没做弊. 
于宙飞船须密行？	天机不可泄露 
“孔子”和“孟子”有何不同	“孔子”的子在左边，“孟子”的子在上面 
羊大一点还是狗大一点？	狗大（犬） 
什么虎不吃人？？	爬壁虎 
唐克在竞走比赛中得了第一，为什么无人为他喝彩？	因为他是倒数第一。 
哪种比赛，赢的得不到奖品，输的却有奖品?	划拳喝酒 
路边电线杆上蹲着一只猴子，司机小李看到就立刻停下车来，请问为 什么？	他把猴屁股当红灯了 
老王不小心把一枚硬币吞进了肚子里,但他为什么十年后才动手术取出来 呢?	当时不急着用 
彦明和东杰住在同一条胡同,早晨上学彦明向左东杰向右,同时到达学校, 为什么?	他俩住对门 
下雨的时候，把铁放在外面会生锈，把金子放在外面会怎样？	“会被偷走” 
小明的房间很乱怎样才能用最短的时间内收拾的干干干净净	闭上眼睛 
什么门总是开着？	球门 
什么宫殿进去容易出来难?	迷宫 
什么东西可以举起沉重的木头，却举不起一粒沙子？	大海。 
脸上长什么无药可救。	胡子。 
小英踩入水坑,為什麼她的鞋沒有濕。	因為她沒有穿鞋 
什麽桥下没有水？	立交桥 
有一失眠者对医生说：“我晚上睡不着觉，怎么办？”医生对他说：“你从一数到一百，一直这样数下去，就能睡着。”可失眠者说：“这不行。”这是为什么？	失眠者是拳击运动员，数到八一定要起来。 
有一条不到一米宽的窄路,两边是陡峭的绝壁,有一个人被蒙上双眼,捆住 四肢,只能像兔子似的往前跳,却安全地走完了这条路.为什么?	因为陡峭的绝壁把小路给夹住了. 
一个黑人罪犯被警察追捕逃到一家白人俱乐部，警察把那家俱乐部里里外 外都找遍了，就是没有找到那个罪犯，为什么？	黑人罪犯吓得脸色煞白 
什么桶永远装不满？	马桶！ 
什么样的强者不能当。	当然是强盗啦！！！！！ 
一只瞎了左眼的山羊左边放一块猪肉右边防一块牛肉它会吃哪块？	都不吃，山羊不吃肉 
一位司机打开车门后的第一件事是什么？	坐下 
兔子有和乌龟赛跑，这次没睡觉，为什么还是输了？	这次对手是忍者龟。 
9月28日是孔子主诞辰，那10月28日是什么日子？	孔子满月 
什么枪能打跑人去不伤人？	起跑用的发令枪。 
图钉掉了，用什么方法可立刻找到？	光着脚。 
美丽的公主嫁给了一个王子，就不需要挂蚊帐了。为什么？	因为她嫁给了青蛙王子。 
一个人掉进了河里，头发为什么没湿？	他是光头。 
什么人整天工作忙得团团转？	芭蕾舞演员 
啥床不能睡	电床 
雨停了，有个人在大街上脱衣服，却没人管，为什么？	他脱的是雨衣。 
在动物园，最先看见是什么关在笼子里的动物？	售票员。 
动物园起火了，什么动物最先逃走？	人 
医生在给病人做手术时为什么要戴口罩。	因为怕死人被别人认出。 
一个人把窗户关了，为什么等他在回来时窗户却开了？	应为他女朋友帮他开窗户了 
象棋与围棋的区别是什么？	象棋的棋子越下越少，围棋相反 
一只普通手表刚掉到大海里,会不会停?	不会，继续往下落 
为什么你在睡觉时老是做梦呢？	因为你想得太多了。 
小明球技很差，为什么在足球比赛中得了亚军？	因为只有两个队 
一个人从飞机天上跳下来，为什么却没有死。	跳伞 
什麽人能享受免费旅游？	肚子里的婴儿 
小王一直在登自行车为什么旁边的景物一点也没变.	他在登健身车 
有人吃饭前要从嘴巴里拿出一个东西来请问是什么？	牙套 
人们明知道是假东西,为什么还要买?	因为是假发. 
为什么老李的马会把老张的象吃掉?	因为他们在下象棋。 
池是用来装水的。可是有一种池里却永远没有水,为什么?	电池里不能装水 
天平的左边吨棉花，右边是一吨铁，为什麽棉花会比铁重？	因为下雨了。 
秦始皇为什么需要这么多的兵马俑陪葬?	死要奖排场呗! 
一个人，穿着皮大衣，戴着棉帽子，他前面有一条河，对岸有一棵树，问 他是怎么够到那棵树的？	他穿的那么厚，当然是冬天，河已结冰，他是滑过去的。 
什么菜怎么洗也洗不净？	灰菜 
什么东西千万不能背？	罪名！ 
黑人吃黑的东西叫什么？	黑吃黑 
吃出一个虫子可怕，吃出两个虫子更可怕，最可怕的是吃出几个虫子？	半个虫子。 
一块黑石子与一块白石子同时放入水中,有什么变化.	石子变湿 
小波比的一举一动都离不开绳子,你知道这是为什么吗?	因为小波比是个小木偶! 
人们常说,打狗要看主人,那么打虎要看什么?	胆量 
小明的手很脏，这时候他要去弹钢琴但他并没有洗手虽然把钢琴弄脏了可 却看不出来。这是为什么？	因为他弹的这首曲子只弹黑键。 
一个农夫每天都给鸡下的蛋写上日期，可8个星期后就不知道蛋是哪天生的了，为什么？？	因为他每天都写今天！！ 
什么戏人人都演过?	游戏 
所有的人都离不开的地方是那里	地球 
月球上去过外星人吗?	去过,去过地球人! 
从飞机上跳下来最怕忘记什麽？	降落伞 
